size,PyTorch (GB/s),Triton (GB/s),CUDA Extension (GB/s)
4096.000000,7.876923,7.958549,7.958549
8192.000000,15.835052,15.917098,15.835052
16384.000000,31.670104,31.670104,31.834197
32768.000000,63.340208,63.668394,63.340208
65536.000000,126.680417,127.336788,126.680417
131072.000000,253.360834,253.360834,252.061538
262144.000000,436.906674,438.857137,390.095241
524288.000000,765.011652,768.000002,765.011652
1048576.000000,1530.023305,1530.023305,1374.881143
2097152.000000,2449.943929,2442.335350,2427.259310
4194304.000000,3503.037755,3503.037755,3096.188815
8388608.000000,4462.025449,4462.025449,4462.025449
16777216.000000,5451.868020,5456.596475,5169.643582
33554432.000000,6139.503275,5957.818135,5954.998512
